Import Archive (Backend),,,,,,,,,
T01,Create ImportArchive request/response DTO,Tạo DTO request/response cho import archive,RB01,PB01,1,Done,3,Khoa,✅ `N/A (multipart direct)` + Response
T02,Design ArchiveImportService interface,Thiết kế interface ArchiveImportService,RB01,PB01,1,Done,2,Khoa,✅ `src/main/java/com/vibegraph/graph/service/ArchiveImportService.java`
T03,Implement ArchiveTypeDetector,Nhận diện loại archive zip/tar/tar.gz,RB02,PB01,1,Done,4,Vinh,✅ `src/main/java/com/vibegraph/graph/importer/ArchiveTypeDetector.java`
T04,Implement safe ArchiveExtractor,Giải nén chống path traversal (zip-slip),RB03,PB01,1,Done,6,Vinh,✅ `src/main/java/com/vibegraph/graph/importer/ArchiveExtractor.java`
T05,Implement POST /api/projects/import-archive,Tạo endpoint upload archive multipart,RB01,PB01,1,Done,5,Danh,✅ `src/main/java/com/vibegraph/graph/controller/ImportController.java`
T06,Unit test ArchiveExtractor,Test chống zip-slip và giới hạn dung lượng,RB03,PB01,1,Done,3,Thịnh,✅ `src/test/java/com/vibegraph/graph/service/impl/ArchiveImportServiceImplTest.java`
GitHub Import (Backend),,,,,,,,,
T07,Implement GitHubUrlParser,Tách owner/repo từ URL GitHub,RB04,PB02,2,Done,3,Khoa,✅ `src/main/java/com/vibegraph/graph/importer/github/GitHubUrlParser.java`
T08,Implement GitHub pre-flight check,Kiểm tra private/size/default branch qua GitHub API,RB05,PB02,2,Done,4,Khoa,✅ `src/main/java/com/vibegraph/graph/importer/github/GitHubPreFlightService.java`
T09,Implement TarballImportService,"Download tarball, extract .java qua archive pipeline và analyze async",RB04,PB02,2,Done,6,Danh,✅ `src/main/java/com/vibegraph/graph/service/TarballImportService.java` + `src/main/java/com/vibegraph/graph/service/impl/TarballImportServiceImpl.java`
T10,Implement POST /api/projects/import-github,Tạo endpoint import repo GitHub,RB04,PB02,2,Done,4,Danh,✅ `src/main/java/com/vibegraph/graph/controller/ImportController.java`
T11,Integration test GitHub import,Test luồng import repo công khai mẫu,RB04,PB02,2,Done,4,Thịnh,"✅ Added deterministic GitHub import integration-style coverage without real GitHub network: `ImportControllerTest` covers `/api/projects/import-github` 202 ANALYZING response, invalid URL validation before service, and safe `GITHUB_IMPORT_ERROR` 422 envelope; `TarballImportServiceImplTest` covers async tarball import/analyze/watch path and preflight failure short-circuit before download/extract/project creation/analyze/watch."
JavaParser & Visitors (Backend),,,,,,,,,
T12,Refine NodeData/EdgeData/ParseResult,Chuẩn hóa data contract trung lập parser,RB06,PB03,1,Done,3,Thịnh,✅ `src/main/java/com/vibegraph/parser/node/NodeData.java` + EdgeData + ParseResult
T13,Complete ClassVisitor,Trích xuất class/interface/enum,RB06,PB03,1,Done,4,Khoa,✅ `src/main/java/com/vibegraph/parser/visitor/ClassVisitor.java` (250 LOC)
T14,Complete MethodVisitor,"Trích xuất method, param, return, throws",RB06,PB03,1,Done,4,Vinh,✅ `src/main/java/com/vibegraph/parser/visitor/MethodVisitor.java` (320 LOC)
T15,Complete FieldVisitor,"Trích xuất field, visibility, injection",RB06,PB03,1,Done,3,Vinh,✅ `src/main/java/com/vibegraph/parser/visitor/FieldVisitor.java` (200 LOC)
T16,Complete ImportVisitor,Sinh IMPORTS edge từ import statement,RB07,PB03,1,Done,3,Thịnh,✅ `src/main/java/com/vibegraph/parser/visitor/ImportVisitor.java` (120 LOC)
T17,Complete SpringAnnotationVisitor,Phát hiện annotation và layer Spring,RB08,PB03,1,Done,4,Khoa,✅ `src/main/java/com/vibegraph/parser/visitor/SpringAnnotationVisitor.java` (180 LOC)
T18,Emit structural edges,Sinh HAS_METHOD/HAS_FIELD/EXTENDS/IMPLEMENTS,RB07,PB03,1,Done,5,Danh,✅ `src/main/java/com/vibegraph/parser/visitor/ClassVisitor.java` (edges in same file)
T19,Wire JavaSymbolSolver for CALLS,Resolve CALLS edge bằng Symbol Solver,RB09,PB03,2,Done,6,Danh,✅ `src/main/java/com/vibegraph/parser/service/impl/ParserServiceImpl.java` (380 LOC)
T20,Unit test visitors,Bật và pass test các visitor,RB06,PB03,1,New,4,Thịnh,`src/test/java/com/vibegraph/parser/visitor/*VisitorTest.java`
Neo4j Storage (Backend),,,,,,,,,
T21,Configure Neo4j Java Driver raw,Cấu hình Neo4jConfig dùng driver thuần,RB10,PB04,1,Done,4,Danh,✅ Spring Boot auto-config via `src/main/resources/application.yaml` + Neo4j driver dependency
T22,Write Cypher schema migration,"Viết V1__init_schema.cypher (constraint, index)",RB11,PB04,1,Done,4,Danh,✅ `src/main/java/com/vibegraph/common/config/Neo4jMigrationRunner.java` (runs migrations on startup)
T23,Implement upsertProject/Nodes/Edges,Upsert bằng UNWIND + MERGE tham số hóa,RB10,PB04,1,Done,6,Khoa,✅ `src/main/java/com/vibegraph/graph/repository/impl/neo4j/Neo4jGraphRepository.java` (450 LOC)
T24,Implement getFullGraph,Truy vấn full graph cho UI,RB12,PB04,1,Done,5,Khoa,✅ `src/main/java/com/vibegraph/graph/repository/impl/neo4j/Neo4jGraphRepository.java`
T25,Implement deleteFile (incremental),Xóa/ghi đè node-edge theo file thay đổi,RB10,PB04,2,Done,4,Thịnh,"✅ `Neo4jGraphRepository.deleteFile(projectId, filePath)` deletes file-scoped nodes/edges and prunes orphan `External` stubs while preserving shared stubs; unit RED/GREEN added; Neo4j IT coverage added but skips without Docker"
T26,ArchUnit test storage boundary,Đảm bảo service không import Neo4j API,RB10,PB04,1,New,3,Thịnh,`src/test/java/com/vibegraph/architecture/StorageAbstractionTest.java`
REST API (Backend),,,,,,,,,
T27,Implement ProjectController,CRUD project + ApiResponse,RB12,PB05,1,Done,4,Khoa,✅ `src/main/java/com/vibegraph/graph/controller/ProjectController.java` (80 LOC)
